date,day_of_week,flight_number,airline,route,aircraft,aircraft_code,capacity,tickets_sold,showed_up,no_shows,bumped,avg_fare_hkd,ticket_revenue_hkd,compensation_hkd,net_revenue_hkd
2024-06-01,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,256,33,0,3115.43,900359.27,0,900359.27
2024-06-02,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,295,273,22,11,2806.36,827876.2,55000,772876.2
2024-06-03,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,284,260,24,0,2466.24,700412.16,0,700412.16
2024-06-04,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,251,38,0,2633.86,761185.54,0,761185.54
2024-06-05,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,276,250,26,0,2277.67,628636.92,0,628636.92
2024-06-06,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,252,33,0,2490.57,709812.45,0,709812.45
2024-06-07,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,251,34,0,2769.78,789387.3,0,789387.3
2024-06-08,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,280,261,19,0,2940.73,823404.4,0,823404.4
2024-06-09,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,296,264,32,2,2715.6,803817.6,10000,793817.6
2024-06-10,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,283,237,46,0,2447.12,692534.96,0,692534.96
2024-06-11,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,274,25,12,2597.26,776580.74,60000,716580.74
2024-06-12,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,290,263,27,1,2427.74,704044.6,5000,699044.6
2024-06-13,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,264,35,2,2530.57,756640.43,10000,746640.43
2024-06-14,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,265,34,3,2496.61,746486.39,15000,731486.39
2024-06-15,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,244,45,0,2910.83,841229.87,0,841229.87
2024-06-16,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,270,15,8,2830.73,806758.05,40000,766758.05
2024-06-17,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,276,241,35,0,2545.62,702591.12,0,702591.12
2024-06-18,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,260,29,0,2179.77,629953.53,0,629953.53
2024-06-19,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,287,257,30,0,2270.63,651670.81,0,651670.81
2024-06-20,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,265,34,3,2413.33,721585.67,15000,706585.67
2024-06-21,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,268,31,6,2728.49,815818.51,30000,785818.51
2024-06-22,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,257,31,0,2660.22,766143.36,0,766143.36
2024-06-23,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,267,32,5,2558.34,764943.66,25000,739943.66
2024-06-24,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,278,249,29,0,2164.97,601861.66,0,601861.66
2024-06-25,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,272,250,22,0,2413.36,656433.92,0,656433.92
2024-06-26,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,264,24,2,2271.78,654272.64,10000,644272.64
2024-06-27,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,287,256,31,0,2577.73,739808.51,0,739808.51
2024-06-28,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,298,269,29,7,2741.22,816883.56,35000,781883.56
2024-06-29,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,293,251,42,0,3100.84,908546.12,0,908546.12
2024-06-30,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,298,279,19,17,3113.14,927715.72,85000,842715.72
2024-07-01,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,279,243,36,0,2459.35,686158.65,0,686158.65
2024-07-02,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,292,265,27,3,2558.75,747155.0,15000,732155.0
2024-07-03,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,279,249,30,0,2371.87,661751.73,0,661751.73
2024-07-04,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,254,45,0,2598.43,776930.57,0,776930.57
2024-07-05,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,287,267,20,5,2591.56,743777.72,25000,718777.72
2024-07-06,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,266,19,4,2769.65,789350.25,20000,769350.25
2024-07-07,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,268,31,6,2405.4,719214.6,30000,689214.6
2024-07-08,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,292,265,27,3,2391.28,698253.76,15000,683253.76
2024-07-09,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,254,34,0,2508.69,722502.72,0,722502.72
2024-07-10,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,256,32,0,2334.0,672192.0,0,672192.0
2024-07-11,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,293,263,30,1,2647.61,775749.73,5000,770749.73
2024-07-12,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,262,37,0,2814.41,841508.59,0,841508.59
2024-07-13,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,266,233,33,0,2776.22,738474.52,0,738474.52
2024-07-14,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,255,33,0,2836.95,817041.6,0,817041.6
2024-07-15,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,272,237,35,0,2297.46,624909.12,0,624909.12
2024-07-16,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,282,259,23,0,2330.9,657313.8,0,657313.8
2024-07-17,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,273,243,30,0,2532.31,691320.63,0,691320.63
2024-07-18,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,264,25,2,2252.45,650958.05,10000,640958.05
2024-07-19,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,291,252,39,0,2735.59,796056.69,0,796056.69
2024-07-20,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,293,267,26,5,2884.71,845220.03,25000,820220.03
2024-07-21,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,284,251,33,0,2725.31,773988.04,0,773988.04
2024-07-22,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,282,257,25,0,2296.29,647553.78,0,647553.78
2024-07-23,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,283,263,20,1,2566.88,726427.04,5000,721427.04
2024-07-24,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,250,35,0,2388.07,680599.95,0,680599.95
2024-07-25,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,246,39,0,2403.5,684997.5,0,684997.5
2024-07-26,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,295,277,18,15,2818.54,831469.3,75000,756469.3
2024-07-27,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,278,247,31,0,3045.54,846660.12,0,846660.12
2024-07-28,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,295,261,34,0,2897.87,854871.65,0,854871.65
2024-07-29,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,286,249,37,0,2551.55,729743.3,0,729743.3
2024-07-30,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,274,242,32,0,2417.46,662384.04,0,662384.04
2024-07-31,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,282,252,30,0,2411.03,679910.46,0,679910.46
2024-08-01,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,295,271,24,9,2205.87,650731.65,45000,605731.65
2024-08-02,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,295,268,27,6,2432.22,717504.9,30000,687504.9
2024-08-03,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,291,269,22,7,2899.09,843635.19,35000,808635.19
2024-08-04,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,262,37,0,3143.31,939849.69,0,939849.69
2024-08-05,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,298,264,34,2,2394.71,713623.58,10000,703623.58
2024-08-06,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,274,25,12,2417.72,722898.28,60000,662898.28
2024-08-07,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,297,261,36,0,2490.16,739577.52,0,739577.52
2024-08-08,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,272,27,10,2353.04,703558.96,50000,653558.96
2024-08-09,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,288,261,27,0,2702.69,778374.72,0,778374.72
2024-08-10,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,273,243,30,0,3106.21,847995.33,0,847995.33
2024-08-11,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,297,261,36,0,2873.49,853426.53,0,853426.53
2024-08-12,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,250,39,0,2522.86,729106.54,0,729106.54
2024-08-13,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,276,236,40,0,2682.1,740259.6,0,740259.6
2024-08-14,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,258,27,0,2640.06,752417.1,0,752417.1
2024-08-15,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,272,27,10,2392.22,715273.78,50000,665273.78
2024-08-16,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,297,261,36,0,2935.04,871706.88,0,871706.88
2024-08-17,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,289,261,28,0,2517.96,727690.44,0,727690.44
2024-08-18,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,287,261,26,0,2943.4,844755.8,0,844755.8
2024-08-19,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,284,265,19,3,2387.41,678024.44,15000,663024.44
2024-08-20,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,271,28,9,2455.79,734281.21,45000,689281.21
2024-08-21,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,292,266,26,4,2513.78,734023.76,20000,714023.76
2024-08-22,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,299,270,29,8,2388.8,714251.2,40000,674251.2
2024-08-23,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,298,265,33,3,2735.38,815143.24,15000,800143.24
2024-08-24,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,290,268,22,6,2815.37,816457.3,30000,786457.3
2024-08-25,Sunday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,292,270,22,8,2973.77,868340.84,40000,828340.84
2024-08-26,Monday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,256,29,0,2245.41,639941.85,0,639941.85
2024-08-27,Tuesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,285,254,31,0,2555.9,728431.5,0,728431.5
2024-08-28,Wednesday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,273,244,29,0,2586.79,706193.67,0,706193.67
2024-08-29,Thursday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,282,256,26,0,2195.34,619085.88,0,619085.88
2024-08-30,Friday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,294,270,24,8,2629.41,773046.54,40000,733046.54
2024-08-31,Saturday,CX344,Cathay Pacific,HKG-PEK,Airbus A330-300,A333,262,280,258,22,0,3089.28,864998.4,0,864998.4
